product_code;visited;add_to_cart;shipped
23819877470;1667;280;53
20814536671;1074;197;50
20225975308;4229;373;55
12398234967;894;229;51
9195978775;3229;420;50
18845396023;444;139;55
19447698759;2543;395;50
21173170869;829;184;53
14830192780;1138;216;51
3196410917;2743;341;50
20257621805;1608;372;52
12270328738;927;211;55
12139671247;845;180;56
19446790107;1223;258;48
14405235472;1378;239;50
18657666053;951;213;46
16386408408;1159;242;48
15464555804;929;182;45
14147889165;2664;314;51
18859331909;1773;267;49
23602237159;1295;287;49
13038870322;1433;202;45
19957363525;1703;247;45
18438896252;3472;446;48
14264551513;1664;407;46
13038335759;739;193;46
10092896010;660;190;45
22702217284;3684;302;46
13938239861;1252;247;49
21659732423;1389;242;42
19259736456;691;182;33
12738848154;1216;241;46
11365182156;584;151;44
13182145983;1107;206;40
23313657330;5286;222;42
23423903766;1014;218;48
17612642512;3109;263;45
23719234338;1740;273;46
18455599774;3816;415;45
15895480485;5066;408;41
12939602159;3654;302;43
18857633254;1093;199;45
14151166206;896;234;40
19344166273;1578;257;42
21455595545;3046;268;39
18230114307;1144;178;43
20132873718;714;145;40
10363884371;2222;334;42
16937020339;1256;173;34
16946048493;1729;247;37
18464424585;2361;246;37
12138422530;1568;224;38
18057666170;2335;193;36
13139649183;744;139;38
18373174875;718;156;31
13439662216;809;136;35
22518123965;1286;181;33
22321663523;2745;329;35
13738406505;2633;237;39
16241429053;880;139;35
19957364068;1699;238;37
7071417874;2266;251;36
21728687027;547;92;30
19166289160;4908;244;31
22221662805;1355;205;35
18830104789;779;138;34
18751603599;2169;252;30
17406918419;942;187;29
17988452618;1031;214;31
15233348949;1212;139;33
22418132416;2388;93;24
18570889708;1145;148;24
12439075363;1162;154;34
21420259093;1759;159;31
19371752680;1283;184;28
13238376563;698;129;30
15133362070;523;118;32
10797668022;571;116;31
20766288570;4757;179;32
20135600225;434;127;25
22018885153;1136;138;29
13039657594;606;108;30
19657652955;506;116;28
16542767979;578;131;27
10177518487;622;119;26
12575811800;1535;193;26
13683261870;1934;250;29
20427689508;730;139;25
12838885374;897;86;27
9909196667;1033;155;28
10669977678;1604;163;26
18557657523;822;150;30
23321658507;1088;210;27
16745373067;1134;190;27
12336901127;559;109;29
19830579247;323;59;20
11587776428;3251;148;26
23723915521;899;154;26
13538258574;1689;135;29
22905030710;2068;191;24
19330787352;832;132;27
15650320433;1177;164;23
21644149161;1654;206;26
16681120965;644;146;27
20230110010;439;76;24
21650731956;692;110;25
23823913607;715;108;26
20930408754;1662;193;25
18944159095;1512;162;25
23219878621;1058;149;25
13790646032;405;87;26
22200300765;843;176;23
18438268735;1209;152;22
18772379169;1371;130;22
20954895307;1122;144;19
13575162022;816;108;25
17247457395;300;109;25
20466288343;2247;172;24
19557635845;1103;144;24
8795896020;471;124;22
18046791212;564;113;24
23813658662;2595;111;22
13438974277;693;113;23
11965174152;424;93;21
19968339431;893;106;22
16684805770;1717;171;20
19945212813;508;86;21
17583702312;357;81;21
15147522765;911;117;15
19835603828;320;71;20
23518471516;337;47;22
22809321737;690;124;22
19243293019;356;73;20
21569132419;1330;113;20
18942807691;421;84;22
18859504528;448;108;19
17754845784;205;55;19
12137505667;413;72;20
20872377335;765;126;19
21144438675;836;117;20
11664655295;821;79;22
12939045061;636;93;19
10964541893;505;68;22
12537498316;1135;146;19
21357368071;707;130;20
12586992717;326;62;19
9598420218;395;75;16
13254107163;591;96;19
16739082559;859;103;20
6970466034;1116;118;19
10892272598;532;84;19
11980883684;486;83;16
12439601259;1526;93;19
11764999843;629;93;19
10565872004;559;109;17
14490716671;587;128;16
11865868411;551;87;17
16152750953;278;62;15
18551031098;557;76;17
11492748271;346;59;16
15105232692;723;95;19
18567005294;647;59;16
14996150303;559;82;15
20057666202;1528;82;18
19371828359;595;98;15
22515035128;1675;107;12
20857367164;840;115;16
18471883461;559;101;18
16716109059;722;105;16
19271137364;707;87;18
15491478965;687;91;17
22213660699;2953;128;16
9696032140;1050;172;19
19347699617;1056;96;17
23120254563;985;88;12
18948201684;1011;63;14
19348197110;802;92;16
13278356253;4376;108;15
15546368915;666;68;14
12275812340;669;102;14
19868405974;477;76;14
17222535712;343;54;16
18464436183;1413;101;13
22103357043;989;122;13
12339660157;496;72;15
16532924388;601;77;14
19735595948;317;73;16
17981104742;472;73;14
22317421396;1087;96;14
21237827356;464;67;14
14268730214;547;96;14
18432907169;293;41;15
13838854164;2988;121;15
12539203477;1849;135;15
10664980108;754;87;13
14494580769;290;65;14
22820702701;536;84;15
12938992594;432;63;14
12138399073;319;62;12
21830799355;313;65;12
15743374308;705;72;13
10985313122;318;64;15
10265604889;410;64;12
23118469785;312;51;12
10997744466;243;48;13
13466163323;369;80;12
11764988546;983;61;14
20263034577;283;48;13
18257665772;490;101;11
10565174719;352;49;12
19767006553;392;69;13
12939040516;717;81;12
11787547316;407;82;12
12498084714;628;63;11
12638433050;247;34;12
12837265805;373;36;12
19273175426;479;81;11
11365608447;311;39;10
20567007274;541;66;10
14374321080;295;40;12
10264582629;1025;103;12
16792274947;960;112;11
17030886578;580;88;12
13838973825;398;58;10
18457694626;779;96;12
10165864661;420;58;9
22518120820;1394;71;12
17427384926;391;52;12
17008667794;4401;124;12
20257658329;273;67;11
13639619576;322;56;11
20159999782;1155;124;11
10965180525;253;38;11
19330107057;498;49;11
15362191904;420;61;10
13539173925;254;42;11
18934155563;511;69;11
17441206886;505;45;11
17980997067;158;27;10
18272377472;765;57;9
15465558220;460;74;11
21145198598;210;44;10
13197222528;254;32;11
18334580163;261;40;11
23519049184;577;69;9
3095218279;740;68;10
22421659275;581;77;9
19837845512;191;22;9
18644426597;207;41;8
18637843614;314;55;11
18257672674;398;75;9
20332612841;728;51;8
16486817769;555;43;9
11864990456;713;74;10
11997847329;200;34;8
15943366818;530;28;8
14546367616;163;32;10
12490778598;307;43;10
20642854355;217;49;9
16482487649;203;32;10
17930888613;228;39;8
18359503105;277;50;9
13339168713;216;28;9
21846774559;373;46;5
13895413228;244;49;7
20530388222;260;54;8
12877955866;220;34;8
16632922348;464;87;9
15873297898;291;36;9
16740821706;198;32;9
20400158416;162;27;6
22920900771;1001;68;8
19767011474;412;66;8
17306913360;224;35;7
13439631425;191;30;5
12598100383;466;50;7
13937356040;613;88;9
18734562142;184;32;9
8595944849;315;51;8
20957667590;468;57;7
11065171156;343;54;7
15633352774;295;40;7
10065871834;194;32;8
18350724826;249;42;7
20772041553;505;67;8
12939202245;348;29;3
17488952121;293;42;8
14962188902;250;45;7
13238413162;235;22;7
19052065735;159;29;7
10964982868;636;41;6
13186425182;150;27;8
20849621966;356;62;8
11165176138;375;59;8
11465008481;324;46;7
20637845943;289;26;7
17041981623;287;33;7
17827396690;378;68;7
17788958564;271;51;7
16119932110;365;58;7
21811516852;525;73;6
20157670046;486;36;5
22220704549;396;37;7
15369239481;134;21;6
15771379858;184;12;6
14260926960;485;63;6
19257664169;356;69;6
12358521275;6285;90;6
21168408593;271;37;5
16506926240;128;20;6
