product_code;visited;add_to_cart;shipped
7268764274;6480;865;1402
4766732812;20313;3301;643
7055392638;16301;1557;253
5809438936;12543;2060;270
5809442636;14155;1407;267
6977150817;9917;1440;241
5855152671;8880;1275;207
6978080936;8452;1186;207
6978282448;11469;1056;191
6103816695;20987;2806;418
4959894771;11811;1513;193
6934340364;9209;2638;455
5857748463;4355;971;133
7176288052;32539;3361;265
6330260776;7080;818;133
5627732680;7143;855;128
5855296385;12434;1431;133
5659840545;9216;1044;128
6330488120;5200;766;117
5659912145;6453;766;114
7250734985;3708;604;118
6605242103;6084;513;102
6850226269;6779;1280;245
5066666368;4303;639;107
5901474591;4381;890;98
7243402512;3687;324;88
7250970350;4142;572;111
5901448196;3833;549;97
5799752487;4683;644;90
7019876472;4750;700;118
7250812358;2999;425;102
5852182119;7971;1382;211
7027560227;5232;684;86
5901204633;5519;815;90
7026354490;4196;647;83
7018080532;5412;827;103
5847802169;13629;1133;94
6977212370;4635;532;79
5432036384;3611;425;80
5901432691;3755;498;82
7243426135;3879;488;73
6512414224;6180;722;80
6138078988;6316;1016;87
5901328782;4126;581;81
4531244640;8642;1096;78
7241186606;2815;368;84
5689160245;8126;655;74
5666894120;6247;783;81
7105892783;3871;553;80
6520672715;11043;757;65
6978994036;8952;1768;223
5991122478;3416;559;77
5735852301;9117;996;76
5855280876;4179;546;73
6459520515;11323;1183;69
6306584267;8436;1147;149
5855882684;7732;1179;202
6074884330;5296;868;149
6167298196;6798;858;145
6140558340;3599;528;69
5531876390;2419;366;59
7027464054;3523;393;59
7176254674;7007;847;122
5736598535;3775;538;67
5847786786;4297;659;66
6097296151;13712;1625;139
5857374488;4955;861;145
6233940942;3872;357;49
6330654982;2388;303;61
5847820181;17567;1224;64
6092118447;3979;492;61
4834314293;2719;389;58
7176240824;4896;685;113
5799790257;1868;310;56
7027238234;3922;370;54
5563278838;7960;627;63
5666882751;1790;325;58
7155286761;2587;491;57
5432072552;2169;372;49
5861474984;2498;328;55
6525784047;4075;345;45
5720116125;8006;1006;53
5857696435;9172;692;49
6512458666;4876;481;51
5901462941;2840;423;50
6605202092;3434;389;50
5432230166;5213;374;45
5901484950;3824;398;49
5901366556;2756;294;48
6754420573;1825;273;49
5901296792;2612;409;48
6838198564;5100;702;144
5799804334;2509;291;44
4959782749;2902;381;50
5900878628;2282;312;46
5736606855;3434;400;48
6822788698;4450;824;139
6717590586;1662;274;46
6811756377;2933;543;101
6219098845;2668;308;42
7105970266;2571;479;44
6459466398;5388;518;40
7176268212;10113;1107;81
6512370975;2740;271;38
6103840107;2537;468;91
6934356885;1571;781;107
6794988503;2977;348;40
7048664499;3034;610;85
5432120806;2956;459;35
6944730882;2077;268;39
5861378132;3837;332;36
6662788132;3140;443;84
5849010699;3579;635;85
6219120747;3210;256;36
6233600088;13482;763;29
6403194019;4023;471;80
6525734699;1033;142;30
6138098387;3454;737;37
5852220139;2561;402;81
4560368245;2618;269;34
6113406641;6305;550;80
6403228476;1445;359;81
6218846807;7059;473;34
6255252699;5786;435;33
5857404144;2381;460;78
5666870598;2416;389;34
6850198038;2110;508;77
6822706744;2646;394;72
5857702872;1308;199;30
6944784376;2588;425;74
5901046159;2234;245;31
6754402051;2211;311;32
5689096269;3252;443;29
5849606840;2319;475;73
5720090141;5162;523;31
5855322428;1338;219;30
5101108917;1318;189;31
7049174360;3073;409;68
6994708248;2384;216;30
7048730052;5635;580;66
5857406448;1503;465;87
6219162930;3551;544;28
6913512072;2198;326;61
5852436142;1510;404;64
6113440154;2355;350;61
6944700991;2374;272;28
5848444159;2350;392;57
5861328480;1820;183;26
5735840634;2101;164;27
6923768268;2871;214;29
7105958463;1842;273;27
6169130912;887;143;25
6685738851;5463;421;58
6219224359;8126;508;25
6234146751;2548;404;20
6049246348;2048;249;26
5855318366;1069;180;26
4834446585;5703;321;24
5848826788;1615;315;56
5861538678;1006;253;57
5849024662;4932;658;53
6754090235;2491;246;23
5854586515;1463;337;57
6923476054;2367;300;26
5991234123;3858;273;24
6850198398;2398;467;72
5976826536;1878;291;53
6152026948;1223;311;54
5861556236;1408;310;54
6880732386;6771;616;45
5563420922;2435;287;25
5861360226;3120;326;26
5858560522;1370;342;51
6818032508;1808;383;66
6932394080;987;249;50
7231950398;1673;211;22
5912232429;1887;184;24
6627448817;2018;200;20
5855346562;986;131;21
7049044440;2423;273;45
5563538094;2660;175;23
5991034636;1486;236;22
5857686390;2307;361;19
5857704713;2091;402;19
7048986148;2803;375;45
6761912438;1376;318;46
7049186457;1810;245;33
7049128826;1812;307;44
7155338010;1671;295;21
7232098172;1054;144;20
5847776637;2317;156;19
5857714187;1946;235;22
4531528470;2409;268;18
5857594769;955;172;22
6403194584;826;260;56
5588898980;2155;196;19
5855314967;1378;202;19
7071644309;2828;189;19
5861578271;2537;321;44
7295402248;1057;273;29
7105946784;2780;282;19
7145592748;1984;159;18
6170266234;1133;153;17
7063994128;2064;270;30
5855328841;983;125;20
6974784665;1679;337;53
6913514567;1911;289;38
5931798088;1206;241;39
6966560200;3422;355;37
6923470869;5447;276;18
7045570064;1045;192;28
7258974030;858;135;17
6285234473;885;147;15
4531574873;1493;128;15
5861318662;1702;178;19
5850794479;903;229;38
7113778314;1370;112;16
5852282275;1077;241;34
5857764183;5211;230;14
6168802114;1141;162;15
7063338286;1496;383;32
6397788773;822;203;35
5937142726;1290;204;36
6947274151;2621;274;34
6998564475;1001;98;15
5861474041;1439;197;18
6627426990;1725;154;14
6074924881;1227;185;32
6391328233;699;203;40
7027466991;1976;307;13
5848876226;1658;317;32
6062716898;1057;251;41
7259404242;1153;194;31
7188384890;1451;90;7
7048882823;878;204;32
6974858293;689;157;32
6346196364;1264;171;22
6074812873;525;150;30
5861432967;574;84;13
5857620793;941;136;16
5861542939;1146;201;32
7049076843;1578;289;30
6062696731;1378;187;30
7049172433;1201;183;22
6110310787;2610;397;19
7049084629;1819;280;28
6199872057;1622;159;30
5854232322;729;182;30
6330912629;2166;203;45
5976932120;916;165;29
5857444192;1357;217;36
5851498270;727;123;14
6805896621;786;162;29
7227090275;614;82;13
6125086468;1115;225;28
5849074988;660;120;29
7063244902;1036;220;25
7295406242;650;123;20
7049074885;1136;224;28
4531412936;948;81;12
5861584085;833;170;28
7049076063;1809;299;26
6838082397;558;134;27
7063918855;1007;119;20
5563160404;1019;102;13
7232060813;1067;105;12
6396016951;1806;132;19
5855292401;470;75;12
5858424319;631;146;27
7045584867;1184;122;19
7049222265;1074;118;19
6103790683;969;164;26
6097306499;648;134;26
5857366722;1018;118;25
6662786465;572;90;26
7217890143;1415;231;19
7259372413;1271;215;25
6152038948;839;168;26
7295272361;292;91;18
7227084713;626;58;11
7258812808;625;76;11
5858660594;812;200;25
7145660425;1569;137;11
6913508882;1002;218;29
7217818934;946;130;19
5855328684;509;106;11
5858412120;851;192;24
6403114293;895;141;23
7045692780;1016;84;17
5851988570;588;77;11
6884844459;1505;264;24
7018326890;790;124;11
7019950179;498;53;12
6786784795;771;114;24
5854052824;1169;89;12
5861454905;635;102;9
5861460689;864;124;12
6171078133;605;168;23
5862072691;753;75;12
