product_code;visited;add_to_cart;shipped
8613911702;320224;28561;4632
21744118910;121031;18319;3660
13526787831;228614;17466;2402
13126794949;151542;10293;1851
21650632631;121937;10006;1780
18550622861;113438;9439;1594
11565155219;125675;9791;1535
21258407754;125448;8773;1352
9728363253;134991;11071;1431
14893395013;126542;8234;1408
13339139202;149293;10452;1349
13771170306;87152;7447;1113
21355600190;105657;6912;982
10665425845;54816;6176;973
22123913665;41056;6082;942
10832427841;76593;5433;920
3897196788;91031;6398;930
16835940080;98947;6638;925
18044128362;19222;3952;931
10641817617;99579;6748;898
12384811285;70555;5683;870
12637527360;52803;5862;864
12475176665;54489;4799;842
10333804600;94809;7309;838
16582218681;41819;4625;740
13839092658;84939;5012;728
13738991750;39196;4215;723
13236144956;82297;5638;728
13538840040;40745;4639;718
22500861026;66506;5122;696
10864180158;41108;3785;686
10063888944;94661;4693;711
8598314632;84250;4366;693
20859236201;46231;4686;683
20225974498;94309;4934;696
10381751340;33977;3590;674
17068212562;49754;4039;654
11024832398;58570;4087;605
10465582081;60428;4230;637
12539163349;50273;3645;634
13271179926;33355;3349;610
10433811444;34795;3369;590
19807811349;73357;4044;596
11965592536;98167;4274;572
10832440363;54165;3770;571
10164678040;34144;3229;567
12136718322;35709;3456;548
16259285491;116896;4107;555
22702217284;44243;3206;539
17927388624;32745;3541;529
4092812158;55882;4325;531
5882490504;36355;3271;519
22513661122;38611;3607;536
20454987728;36190;3165;517
11865576502;47056;3425;506
7179771729;51456;4057;493
23313657330;56845;2857;478
13424100269;45241;3596;499
13236139561;47757;3118;492
3775504845;63559;3786;474
20050629846;45773;2988;472
18030742717;29535;2940;480
12238328454;23480;2613;465
8771022919;82857;3787;453
14084403050;54610;3486;459
12269708242;46974;2851;463
22820677306;35536;2781;458
19930753150;31084;2588;462
12939670158;22696;2210;448
20554984020;37364;3313;453
11815060134;21546;1696;459
12037594445;25942;2875;432
22523919554;19454;2676;416
14143370739;24671;2327;441
22719896384;55604;3190;408
15380063195;47481;2946;404
13436912701;19096;2106;406
11476536398;32490;2460;416
11148978920;43495;3151;411
10791373171;35028;2650;407
9281480210;60303;3462;393
14814306196;43876;3087;403
13236628375;34602;3286;390
8977877422;30199;2555;394
10865605648;35076;2731;384
18114534860;22964;2085;384
11864193100;16480;2099;375
12039104753;16607;2070;375
19946338808;18438;2115;378
10913933922;42316;2659;362
23813658662;28416;2139;362
13439660505;14816;1655;360
17872326222;55098;2505;356
15190741602;19094;1965;357
21971755859;52671;2375;329
8893865185;53247;2968;358
12210837250;38499;2433;335
11865596828;36962;2469;341
11557014088;27708;1993;339
19068339200;25811;2313;344
20034577288;15076;1886;343
13270316924;17185;2020;335
14730190596;24772;2407;336
11364686050;16463;1719;329
22213660699;16657;1588;326
13336823456;17841;2003;342
10065515656;25649;2339;332
19203479089;57520;2498;323
13806478771;67880;2752;337
19725977127;48961;2380;318
3778096641;28404;2262;318
10565876493;29846;2028;328
10181756947;10789;1428;315
22102040466;18650;2148;320
13838370781;25778;1846;305
13936843754;11827;1434;318
14547583759;47350;2315;298
12139054149;38224;2164;299
17789964242;40455;2233;298
18455599774;30858;2149;297
17180997234;15066;1650;303
16669359802;41708;1826;280
2984513608;43865;2529;287
12975175491;14285;1583;289
19413859332;18468;1792;280
16089836863;33338;1966;275
22102042792;18235;1632;283
13036746447;16318;1728;287
13839568751;38611;2243;270
20225975308;28184;2075;278
19957629020;19711;1368;275
18357355447;19645;1401;262
23723911995;8839;1561;264
20445196987;10636;1340;267
12738263358;10693;1382;257
22823924219;10794;1512;263
14774336846;13556;1565;259
17712557854;44363;2120;249
10765170844;23967;1729;249
5685854374;20011;1649;258
12939602159;38749;1988;246
21473167871;10315;1489;258
15611549807;15133;1445;247
14793004193;22039;1859;256
16881076757;31073;2035;245
20057666202;19021;1308;242
13893565725;23028;1375;242
13606484333;63145;1883;230
22520677439;18488;1441;234
20857367164;19781;1555;228
13639032717;20894;1691;237
17973088088;20652;1550;228
16569361863;31198;1794;226
3579874118;42604;1779;219
19657666853;13282;1218;222
20472116768;16002;1283;216
22403304887;13423;1234;220
22119237063;19969;1234;207
10320450533;23401;1444;224
21145402671;8630;1199;207
14404193665;9303;959;217
10385312701;9586;1047;205
12779281502;37139;1699;205
12010069536;28764;1375;217
12358521275;43466;1419;207
13639053150;9111;1099;214
22205736121;29963;1989;206
12938414752;17848;1403;201
18432907169;15264;1035;206
18438896252;27766;2171;212
10513913625;25310;1519;206
21455595545;24821;1657;204
21420259093;19915;1277;210
11465886337;11488;995;200
15726925975;16169;1330;202
14147889165;22154;1564;204
10081758570;11998;1183;199
22123922175;8199;1216;204
13737503195;7819;1040;194
22720680123;22446;1483;192
8898276882;10144;913;195
11364327231;9321;1089;194
12938915339;6010;790;192
22926855749;9095;1311;171
14653598711;12921;1035;180
18057666170;16251;1012;188
4297646724;24677;1274;184
12536767183;6816;695;188
13496724977;5704;834;186
16447418731;11509;974;172
22902039682;11947;1123;178
12275176254;10472;1166;183
13039132787;21862;1429;165
18562772963;38781;1704;180
18657666053;7976;814;172
22320919027;12161;1104;169
12739004072;13132;1015;170
16892106793;14564;1258;167
19440091546;7765;1049;165
11587776428;26537;1338;172
13039005137;13644;1250;166
3895412181;20206;1156;157
22519880059;17227;1174;156
10477512124;8201;983;168
15496402216;10144;1124;164
10365882473;10124;813;159
14684401446;22957;1285;160
14405235472;8743;949;158
23123923733;5943;907;168
15311551666;8577;809;166
12539203477;24812;1218;163
20772031696;15225;1098;151
22518120820;13085;1121;157
19947677258;21206;1251;154
15250094476;11236;940;152
20466288343;27031;1208;168
11664689632;6539;847;145
19672568301;11574;1136;151
16386408408;7178;768;155
9195978775;14542;1136;155
19257658984;17242;962;158
17008667794;44220;1622;154
17112525448;28815;865;150
12738848154;7286;790;149
14791248316;5619;755;159
19446790107;7273;813;149
13424101000;20678;1192;150
10363884371;19906;1073;151
12038405071;12065;913;148
13938353089;7523;764;145
19171752269;14928;1204;144
7071417874;16961;1040;148
19242736905;10776;1178;149
19968338850;17319;1220;147
13336683266;9042;823;139
23317419578;12797;915;150
23220915888;10443;907;144
15477908684;5670;719;146
21644149161;21272;1200;140
13738977817;8877;909;143
11777512840;8338;830;137
18751603599;18487;1000;146
18255600141;26328;951;145
17446354857;6115;741;139
18334580163;6373;780;143
14433358851;5820;595;134
17612642512;24434;1114;135
10274047649;6668;668;129
11664281660;5990;738;135
23018882174;14592;1004;127
20814536671;7165;677;137
19957363525;11213;903;139
14174291592;5181;652;140
19971525387;13698;902;130
13938239861;5782;630;123
16946048493;11366;911;128
23602237159;7612;827;132
13683261870;12055;973;132
23819877470;14467;967;130
12439075363;6134;714;132
23423903766;4530;605;132
12636932220;4782;721;122
11665435388;4525;627;131
15540568918;5879;573;125
14657307951;14804;1070;120
13197222528;10267;639;129
12739109083;4642;646;124
19059504003;9560;946;124
12270328738;5139;672;130
13836723403;4595;544;123
21057632976;8435;804;118
18135592452;5258;640;120
13439662216;4443;477;123
21659732423;9331;910;117
19557635845;10690;825;113
19371526219;13943;889;121
13438894027;4673;631;115
14264551513;12649;1115;119
19447698759;10936;860;114
21573170402;4853;655;117
21657652135;10248;739;118
10669977678;10912;656;114
3196410917;23582;970;111
15895480485;29616;1130;116
12837265805;4440;507;112
18342744425;11120;1221;112
10187288063;7302;569;111
19330787352;5105;502;109
13182145983;10749;762;107
15863227680;11658;844;101
18230114307;6275;467;115
17845170387;5229;669;100
14830192780;5160;584;106
12138317648;4060;590;106
19844162904;10260;771;108
23803626503;7643;732;107
15464555804;5539;613;100
18557657523;5992;639;109
13738406505;15338;874;92
20857661639;7154;529;106
22418132416;15189;630;101
13238376563;5231;499;102
13497191068;8666;622;101
