sku_internal;varian;varian_kosong;stock;umur_stock;avg_daily_sales
APP100219;6;0;165;165;1
APP100186;6;4;41;41;1
APP100220;6;6;0;0;0
APP100191;6;2;53;53;1
APP100192;6;4;0;0;1
APP100394;6;3;60;20;3
APP100233;6;1;40;40;1
APP100206;6;1;0;0;1
APP100225;6;4;0;0;1
APP100226;6;3;12;12;1
APP100228;5;0;363;19;20
APP100258;6;1;12;12;1
APP100290;6;2;11;11;1
APP100303;6;5;0;0;1
APP100304;6;3;11;11;1
APP100153;6;6;0;0;0
APP100154;6;6;0;0;0
APP100156;6;6;0;0;0
APP100158;6;6;0;0;0
APP100161;6;6;0;0;0
APP100164;6;6;0;0;0
APP100166;6;6;0;0;0
APP100170;6;6;0;0;0
APP100173;6;6;0;0;0
APP100176;6;5;0;0;1
APP100309;6;3;0;0;1
APP100260;6;6;0;0;0
APP100297;6;6;0;0;0
APP100299;6;6;0;0;0
APP100261;6;2;0;0;1
APP100112;6;0;1025;103;10
APP100302;6;4;0;0;1
APP100329;6;0;422;61;7
APP100108;6;6;0;0;0
APP100109;6;6;0;0;0
APP100110;6;6;0;0;0
APP100113;6;6;0;0;0
APP100114;6;6;0;0;0
APP100119;6;6;0;0;0
APP100123;6;6;0;0;0
APP100124;6;6;0;0;0
APP100125;6;6;0;0;0
APP100129;6;6;0;0;0
APP100142;6;6;0;0;0
APP100143;6;6;0;0;0
APP100144;6;6;0;0;0
APP100145;6;6;0;0;0
APP100182;6;6;0;0;0
APP100183;6;6;0;0;0
APP100197;6;6;0;0;0
APP100218;6;6;0;0;0
APP100234;6;6;0;0;0
APP100235;6;6;0;0;0
APP100236;6;6;0;0;0
APP100239;6;6;0;0;0
APP100240;6;6;0;0;0
APP100241;6;6;0;0;0
APP100242;6;6;0;0;0
APP100264;6;6;0;0;0
APP100097;6;6;0;0;0
APP100098;6;6;0;0;0
APP100099;6;6;0;0;0
APP100150;6;6;0;0;0
APP100151;6;6;0;0;0
APP100231;6;6;0;0;0
APP100249;6;6;0;0;0
APP100253;6;6;0;0;0
APP100254;6;6;0;0;0
APP100193;6;6;0;0;0
APP100194;6;6;0;0;0
APP100207;6;6;0;0;0
APP100221;6;6;0;0;0
APP100222;6;6;0;0;0
APP100223;6;6;0;0;0
APP100224;6;6;0;0;0
APP100013;6;4;14;7;2
APP100014;6;0;410;137;3
APP100015;6;0;158;53;3
APP100017;6;1;64;64;1
APP100025;6;2;109;109;1
APP100026;6;2;14;14;1
APP100027;6;4;12;12;1
APP100029;6;1;157;157;1
APP100016;6;0;776;259;3
APP100018;6;0;210;105;2
APP100019;6;0;335;168;2
APP100020;6;0;93;93;1
APP100028;6;2;67;34;2
APP100030;6;1;404;202;2
APP100031;6;2;13;7;2
APP100032;6;2;113;113;1
APP100021;6;2;18;18;1
APP100022;6;1;59;30;2
APP100023;6;1;95;95;1
APP100024;6;1;82;82;1
APP100033;6;2;49;49;1
APP100034;6;2;0;0;1
APP100035;6;1;386;386;1
APP100036;6;2;76;76;1
APP100037;6;0;1335;18;75
APP100038;6;0;351;88;4
APP100039;6;0;308;39;8
APP100041;6;0;739;62;12
APP100049;6;0;663;48;14
APP100050;6;0;655;328;2
APP100051;6;0;496;248;2
APP100053;6;0;365;365;1
APP100364;6;1;401;51;8
APP100365;6;1;191;64;3
APP1300369;6;0;199;23;9
APP1300359;6;1;227;12;19
APP100040;6;0;557;51;11
APP100042;6;0;429;72;6
APP100043;6;0;251;126;2
APP100044;6;0;164;164;1
APP100052;6;0;564;188;3
APP100054;6;0;570;190;3
APP100055;6;0;191;191;1
APP100056;6;0;227;227;1
APP100045;5;1;209;105;2
APP100046;5;1;248;83;3
APP100047;5;1;198;99;2
APP100048;5;1;287;72;4
APP100057;5;1;223;223;1
APP100058;5;1;106;53;2
APP100059;5;1;135;135;1
APP100060;5;1;269;135;2
APP100061;5;0;292;98;3
APP100063;5;2;316;64;5
APP100065;5;1;333;56;6
APP100067;5;1;45;45;1
APP100068;5;1;125;125;1
APP100069;5;0;46;46;1
APP100071;5;0;58;29;2
APP100072;5;0;373;187;2
APP100073;5;1;18;18;1
APP100074;5;1;30;30;1
APP100075;5;1;0;0;2
APP100077;5;0;86;22;4
APP100079;5;0;305;153;2
APP100080;5;0;163;163;1
APP100081;5;0;61;31;2
APP100082;5;0;265;67;4
APP100083;5;0;86;29;3
APP100084;5;0;325;109;3
APP100085;5;1;1116;112;10
APP100087;5;0;890;81;11
APP100089;5;0;1402;156;9
APP100062;5;0;339;170;2
APP100064;5;0;139;47;3
APP100066;5;0;296;30;10
APP100070;5;0;231;77;3
APP100076;5;0;77;77;1
APP100078;5;0;142;71;2
APP100086;5;0;483;483;1
APP100088;5;0;569;569;1
APP100090;5;0;754;754;1
APP100332;5;0;632;91;7
APP100001;5;0;1630;41;40
APP100002;5;0;838;280;3
APP100003;5;0;892;179;5
APP100004;5;0;546;110;5
APP100005;5;1;1404;83;17
APP100006;5;0;802;134;6
APP100007;5;0;369;47;8
APP100008;5;1;206;206;1
APP100009;5;0;244;122;2
APP100010;5;0;273;69;4
APP100011;5;0;699;117;6
APP100012;5;0;198;66;3
APP100320;6;0;259;65;4
APP100327;6;6;0;0;0
APP100288;6;4;0;0;1
APP100385;6;6;0;0;0
APP1300364;6;1;143;24;6
APP1300366;5;0;139;70;2
APP1300368;5;0;108;36;3
APP100238;6;1;184;184;1
APP100255;6;0;1040;36;29
APP1300362;6;1;223;75;3
APP100316;6;0;364;73;5
APP100121;6;0;399;200;2
APP1300374;6;0;1924;35;55
APP100348;6;1;59;59;1
APP100407;4;0;690;173;4
APP100408;4;0;302;151;2
APP100409;4;0;373;125;3
APP100410;4;0;190;190;1
APP100411;4;0;131;131;1
APP100412;4;0;57;57;1
APP100403;5;0;404;41;10
APP100402;5;0;180;17;11
APP100399;5;1;362;37;10
APP100404;5;2;0;0;1
APP100401;5;2;44;7;7
APP100400;5;0;976;140;7
APP100396;4;0;136;28;5
APP100395;5;2;0;0;1
APP100397;4;1;186;19;10
APP100398;5;1;152;12;13
APP100421;6;5;0;0;0
APP100419;4;0;144;48;3
APP100420;4;0;55;28;2
APP100414;4;0;296;296;1
APP100416;4;0;58;58;1
APP100418;4;0;165;165;1
APP1300365;5;1;121;61;2
APP1300367;5;2;83;42;2
APP100422;4;0;0;0;2
APP100423;4;2;0;0;1
APP100413;4;0;186;93;2
APP100415;4;0;138;69;2
APP100417;4;0;110;110;1
APP100424;4;0;322;161;2
APP1300360;6;1;16;8;2
APP1300361;6;1;91;19;5
APP1300363;6;0;427;143;3
APP100425;4;0;183;183;1
APP100426;6;4;0;0;1
APP100427;6;5;0;0;0
APP100428;4;2;0;0;1
APP100429;4;0;22;22;1
APP100430;4;0;214;31;7
APP100431;4;0;117;59;2
APP100432;4;0;0;0;1
APP100433;4;0;151;151;1
APP100434;4;0;127;64;2
APP100435;4;0;154;154;1
APP1300370;6;0;198;99;2
APP1300371;6;0;167;167;1
APP100165;6;6;0;0;0
APP100363;6;0;125;42;3
APP100442;4;0;173;173;1
APP100357;6;0;251;84;3
APP100444;4;0;463;78;6
APP100445;4;0;89;45;2
APP100446;4;0;56;56;1
APP100447;4;0;197;197;1
APP100448;4;0;81;41;2
APP100449;4;0;127;127;1
APP100441;4;0;143;72;2
APP100451;4;0;215;54;4
APP100452;4;0;170;170;1
APP100453;4;1;0;0;1
APP100454;4;0;79;40;2
APP100455;4;0;133;45;3
APP100456;4;0;66;66;1
APP100457;4;0;122;61;2
APP100458;4;3;0;0;1
APP100459;4;0;0;0;1
APP100460;4;0;203;29;7
APP100461;4;1;0;0;1
APP100462;4;0;137;137;1
APP100463;4;0;198;50;4
APP100464;4;0;160;160;1
APP100465;4;0;114;19;6
APP100466;4;0;202;101;2
APP100467;4;2;0;0;1
APP100468;4;4;0;0;0
APP100469;4;1;27;27;1
APP100470;4;0;180;180;1
APP100471;4;0;112;28;4
APP100472;4;0;141;141;1
APP100473;4;0;116;116;1
APP100474;4;0;143;72;2
APP100475;4;1;132;132;1
APP100476;4;0;182;182;1
APP100477;4;0;190;190;1
APP100478;4;0;261;261;1
APP100479;4;1;67;67;1
APP100480;4;0;201;201;1
APP100481;4;0;133;133;1
APP100482;4;0;195;195;1
APP100483;6;0;431;87;5
APP100324;6;0;326;41;8
APP100111;6;0;1315;47;28
APP100201;6;0;785;36;22
APP100487;6;0;387;56;7
APP100488;6;0;506;73;7
APP100489;6;0;466;25;19
APP100341;6;0;0;0;1
APP100491;6;0;343;69;5
APP100237;6;4;31;31;1
APP100493;6;0;208;104;2
APP100494;6;0;291;73;4
APP100495;6;0;500;100;5
APP100496;6;0;343;69;5
APP100497;6;0;215;215;1
APP100498;6;0;307;103;3
APP100345;5;1;435;73;6
APP100155;6;6;0;0;0
APP100501;4;0;105;105;1
APP100502;4;0;96;96;1
APP100503;4;0;224;224;1
APP100504;4;0;74;74;1
APP100505;4;0;103;103;1
APP100506;4;0;130;130;1
APP100507;4;1;48;48;1
APP100508;4;0;94;94;1
APP100509;4;0;181;181;1
APP100510;4;0;121;121;1
APP100511;4;1;33;33;1
APP100512;4;0;101;101;1
APP100513;4;0;204;102;2
APP100514;4;0;140;140;1
APP100515;4;4;0;0;0
APP100516;4;0;130;130;1
APP100517;6;0;995;50;20
APP100518;6;0;368;53;7
APP100519;6;1;873;55;16
APP100520;6;2;0;0;1
APP100524;6;2;0;0;1
APP100523;6;1;38;19;2
