sku_internal;varian;varian_kosong;stock;umur_stock;avg_daily_sales
APP100136;6;0;645;59;11
APP100317;6;0;271;91;3
APP100336;6;0;396;80;5
APP100439;5;0;1035;35;30
APP100093;6;1;35;12;3
APP100389;6;0;339;113;3
APP100169;6;6;0;0;0
APP100333;6;0;557;80;7
APP100386;6;6;0;0;0
APP100157;6;6;0;0;0
APP100500;6;0;936;72;13
APP100275;6;0;668;84;8
APP100310;6;6;0;0;0
APP100362;6;1;7;7;1
APP100198;6;6;0;0;0
APP100283;6;6;0;0;0
APP100321;6;0;538;108;5
APP100377;6;0;239;120;2
APP100117;6;0;501;63;8
APP100138;6;0;673;57;12
APP100344;6;6;0;0;0
APP100107;6;0;283;41;7
APP100322;6;0;375;54;7
APP100269;6;6;0;0;0
APP100351;6;0;168;56;3
APP100277;6;0;401;34;12
APP100484;6;0;425;39;11
APP100376;6;0;766;64;12
APP100126;6;1;231;116;2
APP100159;6;6;0;0;0
APP100278;6;6;0;0;0
APP100105;6;0;1336;47;29
APP100315;6;0;1030;55;19
APP1300373;6;0;251;63;4
APP100177;6;0;356;51;7
APP100296;6;5;1;0;0
APP100257;6;1;13;13;1
APP100485;6;1;10;10;1
APP100172;6;6;0;0;0
APP100328;6;0;1527;59;26
APP100306;6;0;87;0;0
APP100390;5;1;339;85;4
APP100346;5;1;398;80;5
APP100115;6;0;345;87;4
APP100200;6;6;0;0;0
APP100349;6;0;613;52;12
APP100122;6;0;460;115;4
APP100128;6;0;25;9;3
APP100134;6;0;384;96;4
APP100270;6;6;0;0;0
APP100388;5;0;502;72;7
APP100406;6;0;455;114;4
APP100378;6;0;351;39;9
APP100279;6;6;0;0;0
APP100280;6;6;0;0;0
APP100314;6;0;701;44;16
APP100284;6;6;0;0;0
APP100353;6;0;351;117;3
APP100149;6;3;4;0;0
APP100203;6;0;437;73;6
APP100245;6;0;312;78;4
APP100391;6;1;207;104;2
APP100252;6;1;9;9;1
APP100187;6;6;0;0;0
APP100405;6;0;478;96;5
APP100387;5;0;761;70;11
APP100289;6;1;13;13;1
APP100208;6;3;4;4;1
