sku_internal;varian;varian_kosong;stock;umur_stock;avg_daily_sales
APP100426;5;5;-12;15;100
ACS021006;5;5;-7;15;100
APP100437;6;6;-5;15;100
APP100249;6;6;-2;15;100
APP100395;5;5;-2;15;100
APP100283;6;6;-1;15;100
APP100155;6;6;-1;15;100
APP100515;4;4;-1;15;100
APP100270;6;6;-1;15;100
APP100272;6;6;-1;15;100
APP100770;6;6;-1;15;100
APP100187;6;6;-1;15;100
APP100102;6;6;-1;15;100
APP100231;6;6;-1;15;100
ACS020415;5;5;0;15;100
APP100157;6;6;0;15;100
ACS020865;5;5;0;15;100
ACS020423;5;5;0;15;100
ACS020882;5;5;0;15;100
APP100242;6;6;0;15;100
ACS021007;5;5;0;15;100
ACS020867;5;5;0;15;100
ACS020879;10;10;0;15;100
ACS020579;5;5;0;15;100
ACS021958;6;6;0;15;100
ACS021010;5;5;0;15;100
ACS020871;10;10;0;15;100
ACS020874;10;10;0;15;100
ACS020411;5;5;0;15;100
ACS020403;10;10;0;15;100
ACS020413;5;5;0;15;100
ACS020409;5;5;0;15;100
APP100235;6;6;0;15;100
APP100264;6;6;0;15;100
ACS020412;5;5;0;15;100
ACS020576;10;10;0;15;100
ACS021336;4;4;0;15;100
APP100197;6;6;0;15;100
ACS020707;9;9;0;15;100
APP100225;6;6;0;15;100
ACS021018;5;5;0;15;100
ACS020876;5;5;0;15;100
ACS020889;10;10;0;15;100
ACS020877;5;5;0;15;100
ACS020593;5;5;0;15;100
ACS020880;5;5;0;15;100
ACS020595;5;5;0;15;100
ACS020577;5;5;0;15;100
APP100224;6;6;0;15;100
APP100327;6;6;0;15;100
APP100180;6;6;0;15;100
APP100344;6;6;0;15;100
APP100097;6;6;0;15;100
APP100385;6;6;0;15;100
APP100386;6;6;0;15;100
ACS020406;5;5;0;15;100
APP100278;6;6;0;15;100
APP100256;6;6;0;15;100
ACS020408;5;5;0;15;100
ACS020422;5;5;0;15;100
ACS020587;5;5;0;15;100
APP100311;6;6;0;15;100
APP100144;6;6;0;15;100
ACS021715;8;8;0;15;100
APP100165;6;6;0;15;100
APP100291;6;6;0;15;100
APP100310;6;6;0;15;100
APP100159;6;6;0;15;100
APP100254;6;6;0;15;100
APP100280;6;6;0;15;100
APP100313;6;6;0;15;100
APP100152;6;6;0;15;100
APP100210;6;6;0;15;100
ACS020398;5;5;0;15;100
ACS020407;5;5;0;15;100
ACS021002;5;5;0;15;100
APP100428;4;4;0;15;100
ACS020400;10;10;0;15;100
ACS020594;5;5;0;15;100
APP100034;6;6;0;15;100
ACS021003;10;10;0;15;100
APP100293;6;6;0;15;100
APP100143;6;6;0;15;100
APP100184;6;6;0;15;100
APP100236;6;6;0;15;100
APP100745;6;6;0;15;100
ACS021900;8;8;0;15;100
ACS020420;10;10;0;15;100
ACS021957;6;6;0;15;100
ACS021004;10;10;0;15;100
APP100113;6;6;0;15;100
APP100182;6;6;0;15;100
ACS020124;10;10;0;15;100
APP100196;6;6;0;15;100
APP100234;6;6;0;15;100
APP100401;5;5;0;15;100
ACS019736;8;8;0;15;100
APP100162;6;6;0;15;100
APP100308;6;6;0;15;100
APP100150;6;6;0;15;100
APP100189;6;6;0;15;100
APP100207;6;6;0;15;100
APP100123;6;6;0;15;100
APP100250;6;6;0;15;100
APP100312;6;6;0;15;100
ACS020873;10;10;0;15;100
ACS020414;5;5;0;15;100
ACS021334;4;4;0;15;100
APP100279;6;6;0;15;100
APP100195;6;6;0;15;100
APP100096;6;6;0;15;100
APP100110;6;6;0;15;100
APP100175;6;6;0;15;100
APP100188;6;6;0;15;100
APP100343;6;6;0;15;100
APP100427;5;5;0;15;100
APP100747;6;6;0;15;100
APP100114;6;6;0;15;100
APP100281;6;6;0;15;100
ACS021012;5;5;0;15;100
APP100142;6;6;0;15;100
APP100269;6;6;0;15;100
APP100284;6;6;0;15;100
APP100273;6;6;0;15;100
APP100295;6;6;0;15;100
APP100129;6;6;0;15;100
APP100208;6;6;0;15;100
APP100725;6;6;0;15;100
APP100161;6;6;0;15;100
APP100768;4;4;0;15;100
APP100239;6;6;0;15;100
APP100193;6;6;0;15;100
APP100260;6;6;0;15;100
APP100253;6;6;0;15;100
APP100170;6;6;0;15;100
APP100303;6;6;0;15;100
ACS021335;4;4;0;15;100
APP100274;6;6;0;15;100
APP100294;6;6;0;15;100
ACS020597;4;4;0;15;100
ACS021901;8;8;0;15;100
APP100673;6;6;0;15;100
ACS021013;5;5;0;15;100
ACS021009;5;5;0;15;100
ACS020405;5;5;0;15;100
ACS021011;5;5;0;15;100
APP100176;6;6;0;15;100
APP100119;6;6;0;15;100
APP100672;6;6;0;15;100
APP100282;6;6;0;15;100
ACS020886;10;10;0;15;100
APP100108;6;6;0;15;100
APP100099;6;6;0;15;100
APP100222;6;6;0;15;100
APP100265;6;6;0;15;100
APP100531;5;5;0;15;100
ACS020397;5;5;0;15;100
APP100153;6;6;0;15;100
APP100453;4;4;0;15;100
ACS020418;10;10;0;15;100
APP100164;6;6;0;15;100
APP100384;6;6;0;15;100
ACS020588;5;5;0;15;100
APP100128;6;6;0;15;100
APP100404;5;5;0;15;100
APP100221;6;6;0;15;100
APP100100;6;6;0;15;100
APP100298;6;6;0;15;100
APP100421;5;5;0;15;100
APP100109;6;6;0;15;100
APP100169;6;6;0;15;100
APP100297;6;6;0;15;100
APP100309;6;6;0;15;100
APP100198;6;6;0;15;100
APP100151;6;6;0;15;100
APP100261;6;6;0;15;100
APP100218;6;6;0;15;100
APP100342;6;6;0;15;100
APP100771;6;6;0;15;100
APP100075;5;5;0;15;100
APP100748;6;6;0;15;100
APP100125;6;6;0;15;100
ACS020573;10;10;0;15;100
APP100183;6;6;0;15;100
APP100145;6;6;0;15;100
APP100163;6;6;0;15;100
ACS020578;5;5;0;15;100
APP100266;6;6;0;15;100
APP100190;6;6;0;15;100
APP100200;6;6;0;15;100
APP100268;6;6;0;15;100
APP100154;6;6;0;15;100
APP100104;6;6;0;15;100
APP100267;6;6;0;15;100
APP100156;6;6;0;15;100
APP100296;6;6;0;15;100
ACS020881;5;5;0;15;100
APP100461;4;4;0;15;100
APP100248;6;6;0;15;100
APP100252;6;6;0;15;100
ACS021966;6;6;0;15;100
APP100271;6;6;0;15;100
APP100302;6;6;0;15;100
APP100259;6;6;0;15;100
APP100436;6;6;0;15;100
APP100185;6;6;0;15;100
APP100299;6;6;0;15;100
APP100173;6;6;0;15;100
APP100172;6;6;0;15;100
APP100091;6;6;0;15;100
APP100174;6;6;0;15;100
ACS020572;10;10;0;15;100
APP100098;6;6;0;15;100
APP100167;6;6;0;15;100
APP100199;6;6;0;15;100
APP100326;6;6;0;15;100
APP100301;6;6;0;15;100
APP100194;6;6;0;15;100
APP100166;6;6;0;15;100
APP100338;6;6;0;15;100
APP100171;6;6;0;15;100
APP100158;6;6;0;15;100
APP100192;6;6;0;15;100
APP100226;6;6;0;15;100
APP100292;6;6;0;15;100
APP100223;6;6;0;15;100
APP100160;6;6;0;15;100
APP100240;6;6;0;15;100
APP100124;6;6;0;15;100
ACS0211174;5;5;0;15;100
APP100241;6;6;0;15;100
ACS020875;10;10;0;15;100
APP100101;6;6;0;15;100
APP100092;6;6;0;15;100
APP100520;6;6;0;15;100
ACS021329;4;4;0;15;100
APP100765;4;4;0;15;100
ACS022325;4;4;0;15;100
ACS021520;8;8;0;15;100
ACS021948;6;6;0;15;100
ACS021956;6;6;0;15;100
ACS021569;5;5;0;15;100
ACS021327;4;4;0;15;100
ACS022132;11;11;0;15;100
APP100438;6;6;0;15;100
ACS020891;10;9;2;15;100
ACS0211171;10;9;15;15;100
ACS020393;10;9;69;15;100
ACS020401;10;9;70;15;100
ACS020872;10;9;91;15;100
ACS020272;10;9;144;15;100
APP100013;6;5;0;15;100
APP100149;6;5;0;15;100
APP100212;6;5;1;15;100
APP100131;6;5;1;15;100
APP100724;6;5;1;15;100
APP100206;6;5;1;15;100
APP100717;6;5;1;15;100
APP100204;6;5;1;15;100
ACS021945;6;5;1;15;100
APP100213;6;5;2;15;100
APP100524;6;5;2;15;100
APP100031;6;5;2;15;100
APP100362;6;5;2;15;100
APP100205;6;5;2;15;100
APP100217;6;5;3;15;100
APP100258;6;5;3;15;100
APP100216;6;5;4;15;100
APP100214;6;5;4;15;100
APP100232;6;5;4;15;100
APP100289;6;5;4;15;100
APP100304;6;5;4;15;100
ACS021967;6;5;4;15;100
ACS021968;6;5;5;15;100
APP100288;6;5;5;15;100
APP100485;6;5;5;15;100
APP100290;6;5;5;15;100
APP100215;6;5;6;15;100
APP100146;6;5;6;15;100
APP100027;6;5;7;15;100
APP100276;6;5;7;15;100
APP100211;6;5;8;15;100
APP1300360;6;5;8;15;100
APP100244;6;5;8;15;100
APP100307;6;5;9;15;100
APP100552;6;5;10;15;100
APP100209;6;5;19;15;100
APP100237;6;5;22;15;100
APP100230;6;5;28;15;100
APP100191;6;5;33;15;100
APP100720;5;4;1;15;100
APP100073;5;4;5;15;100
APP100074;5;4;14;15;100
APP100567;5;4;15;15;100
ACS020395;10;8;17;15;100
APP100402;5;4;58;15;100
ACS020878;10;8;58;15;100
APP100396;5;4;82;15;100
APP100398;5;4;85;15;100
ACS020883;10;8;106;15;100
APP100397;5;4;127;15;100
APP100070;5;4;174;15;100
ACS020219;10;8;191;15;100
APP100399;5;4;205;15;100
APP100063;5;4;207;15;100
APP100065;5;4;237;15;100
ACS021024;10;8;462;15;100
ACS021954;9;7;79;15;100
APP100458;4;3;0;15;100
APP100467;4;3;0;15;100
APP100432;4;3;2;15;100
APP100541;4;3;2;15;100
APP100422;4;3;3;15;100
APP100429;4;3;3;15;100
APP100423;4;3;4;15;100
APP100459;4;3;4;15;100
ACS021710;8;6;8;15;100
ACS022327;4;3;13;15;100
ACS019731;8;6;52;15;100
ACS022131;8;6;153;15;100
ACS020274;10;7;86;15;100
ACS020708;10;7;374;15;100
ACS020888;10;7;449;15;100
ACS020008;10;7;571;15;100
APP100026;6;4;0;15;100
APP100341;6;4;1;15;100
APP100305;6;4;3;15;100
APP100202;6;4;4;15;100
APP100257;6;4;5;15;100
APP100021;6;4;5;15;100
APP100243;6;4;5;15;100
APP100181;6;4;5;15;100
APP100251;6;4;6;15;100
APP100744;6;4;6;15;100
APP100262;6;4;9;15;100
APP100130;6;4;11;15;100
APP100393;6;4;11;15;100
APP100247;6;4;19;15;100
APP100094;6;4;19;15;100
APP100135;6;4;20;15;100
APP100093;6;4;21;15;100
ACS021961;6;4;24;15;100
APP100233;6;4;28;15;100
APP100186;6;4;30;15;100
APP100394;6;4;30;15;100
APP100381;6;4;31;15;100
APP100033;6;4;35;15;100
APP100022;6;4;37;15;100
APP100137;6;4;38;15;100
APP100810;6;4;39;15;100
ACS021950;6;4;40;15;100
APP100028;6;4;42;15;100
APP100036;6;4;71;15;100
APP100228;6;4;74;15;100
APP100148;6;4;76;15;100
ACS021944;6;4;79;15;100
